,pr
2015-05-21,0.618952380952381
2015-05-22,0.08571428571428572
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,1.715666666666667
2015-05-26,15.194190476190478
2015-05-27,25.88480952380952
2015-05-28,27.768857142857147
2015-05-29,0.047619047619047616
2015-05-30,0.028571428571428574
2015-05-31,0.04
2015-06-01,0.047619047619047616
2015-06-02,0.13333333333333336
2015-06-03,0.06666666666666667
2015-06-04,0.05714285714285714
2015-06-05,0.14285714285714288
2015-06-06,0.0380952380952381
2015-06-07,0.05714285714285714
2015-06-08,0.047619047619047616
2015-06-09,0.009523809523809525
2015-06-10,0.01904761904761905
2015-06-11,0.009523809523809525
2015-06-12,6.583238095238096
2015-06-13,22.527125
2015-06-14,0.8249999999999997
2015-06-15,19.291062500000002
2015-06-16,8.986062500000001
2015-06-17,0.08000000000000002
2015-06-18,0.0
2015-06-19,9.3349375
2015-06-20,0.375
2015-06-21,0.1
2015-06-22,0.0
2015-06-23,0.037500000000000006
2015-06-24,0.09523809523809523
2015-06-25,0.0761904761904762
2015-06-26,0.5152380952380952
2015-06-27,1.2773333333333334
2015-06-28,0.2571428571428572
2015-06-29,0.06666666666666667
2015-06-30,0.09523809523809523
2015-07-01,4.9278571428571425
2015-07-02,0.2
2015-07-03,3.6249523809523816
2015-07-04,8.268476190476191
2015-07-05,0.19142857142857145
2015-07-06,0.0
2015-07-07,0.49523809523809526
2015-07-08,14.704666666666666
2015-07-09,18.903761904761907
2015-07-10,0.0761904761904762
2015-07-11,24.91290476190476
2015-07-12,2.779333333333333
2015-07-13,19.066714285714287
2015-07-14,9.009380952380953
2015-07-15,9.841238095238095
2015-07-16,2.691857142857143
2015-07-17,24.994857142857146
2015-07-18,20.66490476190476
2015-07-19,0.08571428571428572
2015-07-20,0.028571428571428574
2015-07-21,5.2609047619047615
2015-07-22,11.398809523809524
2015-07-23,0.0761904761904762
2015-07-24,0.05714285714285714
2015-07-25,22.289523809523807
2015-07-26,0.2285714285714286
2015-07-27,0.1428571428571429
2015-07-28,0.09523809523809523
2015-07-29,0.08571428571428573
2015-07-30,0.028571428571428574
2015-07-31,0.0380952380952381
2015-08-01,0.08571428571428572
2015-08-02,0.01904761904761905
2015-08-03,0.0380952380952381
2015-08-04,0.009523809523809525
2015-08-05,0.0
2015-08-06,0.01904761904761905
2015-08-07,0.01904761904761905
2015-08-08,0.0
2015-08-09,0.028571428571428574
2015-08-10,0.01904761904761905
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0380952380952381
2015-08-15,0.028571428571428574
2015-08-16,0.05555555555555555
2015-08-17,0.0
2015-08-18,0.028571428571428574
2015-08-19,2.2059523809523807
2015-08-20,0.4666666666666666
2015-08-21,0.14285714285714285
2015-08-22,0.2285714285714286
2015-08-23,0.01904761904761905
2015-08-24,7.207190476190478
2015-08-25,0.8665714285714285
2015-08-26,1.6276190476190475
2015-08-27,0.5906666666666666
2015-08-28,13.625333333333334
2015-08-29,0.05714285714285714
2015-08-30,0.0
2015-08-31,0.009523809523809525
2015-09-01,0.01904761904761905
2015-09-02,0.14285714285714285
2015-09-03,3.1342380952380955
2015-09-04,20.406714285714287
2015-09-05,3.7834285714285714
2015-09-06,0.33428571428571435
2015-09-07,0.01904761904761905
2015-09-08,12.719761904761905
2015-09-09,32.07604761904762
2015-09-10,0.44000000000000006
2015-09-11,18.131571428571426
2015-09-12,1.2003333333333333
2015-09-13,0.4467142857142856
2015-09-14,0.009523809523809525
2015-09-15,0.0
2015-09-16,0.028571428571428574
2015-09-17,0.05714285714285714
2015-09-18,0.05555555555555555
2015-09-19,4.798222222222222
2015-09-20,1.6476190476190478
2015-09-21,0.009523809523809525
2015-09-22,0.009523809523809525
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.009523809523809525
2015-09-26,7.159047619047618
