,vazao,etp,horleitura,Q_fore
2016-05-14,52.289375,0.0911420833333333,0.0,52.74515065752752
2016-05-15,54.63427083333334,0.0872529166666666,0.0,51.56421190227414
2016-05-16,49.680625,0.0732704166666666,0.0,50.30285473101678
2016-05-17,48.48374999999999,0.0839908333333333,9.4,49.171398692053764
2016-05-18,59.8021875,0.0851895833333333,0.0,48.597570150658065
2016-05-19,66.176875,0.0735954166666666,0.2,48.99861491693437
2016-05-20,63.791041666666665,0.0380883333333333,0.0,50.530610882895964
2016-05-21,58.14395833333333,0.0666620833333333,24.4,50.93009557137693
2016-05-22,85.25937499999999,0.0836291666666666,16.0,51.7217455465039
2016-05-23,126.76614583333333,0.0628195833333333,53.0,57.48961263790278
2016-05-24,147.338125,0.0743008333333333,0.2,74.06332887734094
2016-05-25,140.80125,0.0807420833333333,0.0,98.11169963284753
2016-05-26,153.245,0.0708225,0.0,124.30668758862319
2016-05-27,162.50333333333333,0.0959816666666666,0.2,126.70973218923321
2016-05-28,162.66,0.0788037499999999,19.2,111.67932267315528
2016-05-29,162.90208333333334,0.0769095833333333,0.2,103.13971267337831
2016-05-30,148.87739583333334,0.0742233333333333,7.2,100.39278533343571
2016-05-31,133.92854166666666,0.0896233333333333,0.4,103.5295110605921
2016-06-01,119.67239583333333,0.0703,0.6000000000000001,102.25122299514962
2016-06-02,111.25208333333336,0.0766358333333333,7.0,97.2475823159738
2016-06-03,113.85989583333333,0.0697541666666666,0.2,92.26455713108027
2016-06-04,106.3515625,0.0656304166666666,0.0,87.39243108877335
2016-06-05,106.43072916666668,0.0619970833333333,0.4,84.56770096763402
2016-06-06,108.9828125,0.0534770833333333,3.2,80.54285348262385
2016-06-07,110.50520833333331,0.0692183333333333,2.0,75.78464056922684
2016-06-08,108.62291666666664,0.0496275,0.0,72.42085206762188
2016-06-09,105.48072916666666,0.074,0.0,70.25002267512541
2016-06-10,102.48489583333333,0.06415125,0.0,67.94196190822203
2016-06-11,98.38385416666668,0.0743141666666666,0.0,64.8297621360651
2016-06-12,90.356875,0.0595666666666666,0.0,61.718954451843096
2016-06-13,79.49385416666667,0.0608654166666666,0.0,59.017551108393214
2016-06-14,69.73354166666667,0.0659304166666666,0.0,56.64774505138112
2016-06-15,63.079479166666665,0.05521625,0.0,54.543503054058434
2016-06-16,59.298229166666665,0.0570329166666666,0.0,52.65725701153563
2016-06-17,56.661145833333336,0.0614304166666666,0.0,50.956831847299
2016-06-18,54.411458333333336,0.0381004166666666,9.8,49.60305071597424
2016-06-19,70.46375,0.05201,21.2,49.442619979146336
2016-06-20,88.57166666666666,0.0619054166666666,7.6,51.93511277516404
2016-06-21,93.0375,0.076205,15.8,58.93845555685239
2016-06-22,113.2125,0.0690441666666666,20.2,70.25995935462431
2016-06-23,151.0709375,0.0716116666666666,28.2,81.19285812158239
2016-06-24,136.141875,0.06690375,0.0,94.22182031262358
2016-06-25,143.56458333333333,0.0615316666666666,0.0,110.52558735656837
2016-06-26,162.35052083333332,0.0533820833333333,0.0,122.16980312615439
2016-06-27,165.83510416666667,0.0596816666666666,0.0,117.00830689757119
2016-06-28,155.70302083333334,0.0602879166666666,0.0,104.0870245023732
2016-06-29,138.54697916666666,0.07278875,0.0,94.35008408702915
2016-06-30,123.11458333333331,0.0700404166666666,0.0,86.74391589717017
2016-07-01,112.1625,0.0584779166666666,0.0,80.56555157669767
2016-07-02,105.88385416666668,0.0563745833333333,0.0,75.3617484033717
2016-07-03,101.08020833333336,0.06162625,0.0,70.90883525404874
2016-07-04,93.35927083333333,0.0473229166666666,0.0,67.06367246423598
2016-07-05,83.35302083333333,0.0542249999999999,0.0,63.716219170294586
2016-07-06,75.0690625,0.0435725,0.0,60.780618933231196
2016-07-07,69.6371875,0.06346625,2.2,58.235583529161296
2016-07-08,65.66770833333334,0.0662954166666666,0.0,56.13886638470487
2016-07-09,62.2946875,0.05044125,0.0,54.49296468724946
