,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
141,6373.29,98.6072,158.894,98.6187,10486.8,98.6072,98.6072,98.3597,98.6072,97.2716,97.4986,98.6072,98.6072,98.6072,18.5257,98.6072,98.6072,98.6072
142,40819.8,96.0612,156.43,96.0729,10484.3,96.0612,96.0612,95.929,96.0612,94.9245,94.9434,96.0612,96.0612,96.0612,15.9873,96.0612,96.0612,96.0612
143,6365.1,92.6702,153.086,92.6819,10481.0,92.6702,92.6702,92.6103,92.6702,91.662,91.5447,92.6702,92.6702,92.6702,12.5989,92.6702,92.6702,92.6702
144,40814.4,90.8094,151.251,90.8213,10478.2,90.8094,90.8094,90.7709,90.8094,89.8542,89.6608,90.8094,90.8094,90.8094,10.7446,90.8094,90.8094,90.8094
145,6362.44,89.6194,150.075,89.6313,10476.9,89.6194,89.6194,89.5905,89.6194,88.6885,88.4648,89.6194,89.6194,89.6194,9.55975,89.6194,89.6194,89.6194
146,40819.7,94.6978,155.074,94.7098,10482.4,94.6978,94.6978,94.5637,94.6978,93.5747,93.5622,94.6978,94.6978,94.6978,14.6322,94.6978,94.6978,94.6978
147,6401.86,129.578,189.512,129.59,10516.7,129.578,129.578,128.825,129.578,127.366,128.483,129.578,129.578,129.578,49.4801,129.578,129.578,129.578
148,40854.7,137.311,197.166,137.323,10524.4,137.311,137.311,136.469,137.311,134.922,136.232,137.311,137.311,137.311,57.2144,137.311,137.311,137.311
149,6373.73,112.133,172.416,112.145,10499.1,112.133,112.133,111.873,112.133,110.761,111.009,112.133,112.133,112.133,32.0669,112.133,112.133,112.133
150,40817.7,103.286,163.728,103.299,10490.5,103.286,103.286,103.242,103.286,102.302,102.146,103.286,103.286,103.286,23.2308,103.286,103.286,103.286
151,6364.1,99.2696,159.767,99.282,10486.8,99.2696,99.2696,99.2955,99.2696,98.4174,98.1278,99.2696,99.2696,99.2696,19.2177,99.2696,99.2696,99.2696
152,40868.7,152.588,212.254,152.601,10538.7,152.588,152.588,151.436,152.588,149.668,151.487,152.588,152.588,152.588,72.4488,152.588,152.588,152.588
153,6376.4,120.217,180.54,120.229,10507.2,120.217,120.217,119.996,120.217,118.914,119.087,120.217,120.217,120.217,40.1472,120.217,120.217,120.217
154,40818.5,108.686,169.18,108.699,10496.1,108.686,108.686,108.709,108.686,107.821,107.546,108.686,108.686,108.686,28.6294,108.686,108.686,108.686
155,6364.3,103.628,164.2,103.641,10491.3,103.628,103.628,103.75,103.628,102.948,102.485,103.628,103.628,103.628,23.5799,103.628,103.628,103.628
156,40814.3,100.577,161.185,100.59,10488.3,100.577,100.577,100.741,100.577,99.9778,99.4333,100.577,100.577,100.577,20.5356,100.577,100.577,100.577
157,6362.45,98.3623,158.981,98.3753,10486.2,98.3623,98.3623,98.5332,98.3623,97.7821,97.2176,98.3623,98.3623,98.3623,18.324,98.3623,98.3623,98.3623
158,40813.4,96.6381,157.254,96.6512,10484.4,96.6381,96.6381,96.7997,96.6381,96.0444,95.4933,96.6381,96.6381,96.6381,16.6014,96.6381,96.6381,96.6381
159,6361.94,95.2516,155.861,95.2647,10483.0,95.2516,95.2516,95.4,95.2516,94.637,94.1063,95.2516,95.2516,95.2516,15.2161,95.2516,95.2516,95.2516
